data_type,collector,purpose
asset,we,"analytics, services"
booking form information information provide to account holder,UNSPECIFIED_ACTOR,
booking form information information provide to account holder,we,"analytics, services"
booking information,UNSPECIFIED_ACTOR,
booking information,we,"analytics, services"
calendar information,we,analytics
contact address,UNSPECIFIED_ACTOR,
contact address,we,analytics
contact address,we,"analytics, services"
cookie / pixel tag,we,"analytics, services"
cookie / pixel tag,youcanbook.me,services
correspondence information,UNSPECIFIED_ACTOR,
correspondence information,we,"analytics, services"
data be,we,"analytics, services"
datum you provide,we,"analytics, services"
different type,UNSPECIFIED_ACTOR,
different type,we,"analytics, services"
email address,UNSPECIFIED_ACTOR,
email address,we,analytics
email address,we,"analytics, services"
for name,UNSPECIFIED_ACTOR,
for name,we,analytics
for name,we,"analytics, services"
information about free time,we,"analytics, services"
information contain in booking form,we,"analytics, services"
information relate to individual booking,we,"analytics, services"
information you provide to we,we,"analytics, services"
ip address,we,"analytics, services"
log information,UNSPECIFIED_ACTOR,
log information,we,"analytics, services"
number of third party service to we transfer personal datum in provision of service,we,"analytics, services"
payment history with account holder,we,"analytics, services"
payment information,payment processor,
payment information information relate to payment transaction collect,UNSPECIFIED_ACTOR,
payment information information relate to payment transaction collect,we,"analytics, services"
personal identifier,we,"analytics, services"
phone number,UNSPECIFIED_ACTOR,
phone number,we,analytics
phone number,we,"analytics, services"
postal address,UNSPECIFIED_ACTOR,
postal address,we,analytics
postal address,we,"analytics, services"
technical information detail of visit to site,UNSPECIFIED_ACTOR,
technical information detail of visit to site,we,"analytics, services"
