data_type,collector,purpose
academic information,UNSPECIFIED_ACTOR,
academic information,we,"services, analytics"
academic information,yuja,
cookie / pixel tag,we,services
cookies,we,"services, analytics"
credit card,UNSPECIFIED_ACTOR,
credit card,we,"services, analytics"
credit card,yuja,
opt choice,we,"services, analytics"
person name,UNSPECIFIED_ACTOR,
person name,we,"services, analytics"
person name,yuja,
phone number,UNSPECIFIED_ACTOR,
phone number,we,"services, analytics"
phone number,yuja,
postal address,UNSPECIFIED_ACTOR,
postal address,we,"services, analytics"
postal address,yuja,
